x,y
6373105,1316400
6371176,1312784
6371447,1318751
6371356,1312380
6371232,1312607
6373183,1317578
6373313,1317655
6372580,1314472
6372333,1314765
6372149,1313954
6372370,1313789
6372492,1313918
6373615,1315020
6373240,1315320
6373055,1315330
6371735,1313365
6372707,1314784
6372280,1315790
6373482,1317472
6373614,1318120
6370435,1313768
6370174,1314064
6370035,1315618
6373304,1317396
6371818,1312396
6373615,1315020
6372685,1318731
6373240,1315320
6370110,1313823
6371525,1314520
6373076,1313127
6374090,1313918
6372109,1313154
6374110,1319606
6373240,1315320
6370868,1314515
6371030,1314453
6372190,1313643
6374749,1317388
6371790,1313795
6370799,1314796
6371972,1312263
6373214,1312704
6370495,1314176
6371242,1312714
6372539,1317859
6374294,1319348
6370732,1313562
6372197,1319016
6372363,1318913
6374388,1316688
6372224,1316688
6370558,1313344
6371600,1313113
6373615,1315020
6371464,1319605
6371619,1313316
6373460,1313506
6371670,1313445
6373591,1313182
6372785,1316095
6373324,1316726
6373305,1316710
6373241,1312562
6371696,1312517
6372303,1315207
6371186,1312246
6372853,1315115
6370505,1313893
6374406,1318050
6370859,1314211
6371736,1313524
6371935,1313403
6370564,1313324
6372705,1316265
6370620,1316306
6372224,1319605
6372731,1319613